x,y,z,U,V,W,urms,vrms,wrms,uv,uw,vw
0.4,0.038738,-0.6,0.10332,0.0022769,0.039578,0.93904,0.51566,0.77747,0.40686,0.27795,-0.14129
0.4,0.086455,-0.6,0.6842,0.026779,0.0070812,1.7072,0.87601,1.1914,1.2715,0.38192,-0.19432
0.4,0.15195,-0.6,1.055,0.0050292,-0.00098448,1.5869,0.87411,1.1037,0.96411,0.16963,0.019979
0.4,0.23396,-0.6,1.281,0.00037996,0.0015122,1.4969,0.85287,1.0193,0.9798,0.20173,0.0094961
0.4,0.33087,-0.6,1.435,-0.0030479,0.0061966,1.3844,0.79752,0.92485,0.83189,0.1106,0.03312
0.4,0.44081,-0.6,1.5723,-0.0055302,-0.0083949,1.2669,0.79796,0.87933,0.75417,0.0601,-0.053043
0.4,0.56163,-0.6,1.7018,-0.0025691,-0.00090158,1.0849,0.73096,0.77306,0.51001,0.060215,-0.023875
0.4,0.69098,-0.6,1.821,-0.0019121,-0.009279,0.94964,0.65356,0.66835,0.41094,-0.016742,-0.034482
0.4,0.82635,-0.6,1.9156,-0.0010916,-0.004671,0.75501,0.58438,0.56199,0.2191,0.0093509,-0.0048276
0.4,0.9651,-0.6,1.96,-0.00011029,-0.0012822,0.66705,0.52736,0.48902,0.049806,-0.023057,0.0015239
0.4,1.1045,-0.6,1.9456,-0.00056298,-0.0015524,0.704,0.52633,0.50118,-0.11858,0.0021049,0.0080843
0.4,1.2419,-0.6,1.8765,-0.0004547,-0.0086444,0.81908,0.59368,0.60446,-0.29663,-0.017775,-0.0013907
0.4,1.3746,-0.6,1.7717,0.0019909,-0.0041903,0.99873,0.696,0.7117,-0.43959,-0.012846,-0.028425
0.4,1.5,-0.6,1.6456,0.0026593,-0.0015865,1.1539,0.77022,0.82837,-0.61836,0.034214,-0.061767
0.4,1.6157,-0.6,1.5071,0.0031608,-0.0070657,1.3145,0.80202,0.89526,-0.74049,0.072705,0.02163
0.4,1.7193,-0.6,1.3743,-0.0012854,0.0048508,1.421,0.82065,0.98014,-0.87053,0.11151,0.019767
0.4,1.809,-0.6,1.1948,-0.0020516,0.00021896,1.5665,0.87292,1.0897,-1.0093,0.1508,-0.016742
0.4,1.8829,-0.6,0.91154,-0.014873,-0.010103,1.6331,0.8453,1.201,-0.97701,0.31235,-0.0060162
0.4,1.9397,-0.6,0.4659,-0.012501,0.056054,1.6247,0.84693,1.1303,-1.1882,0.70263,-0.17254
0.4,1.9781,-0.6,-0.00020665,9.7492e-05,-0.00052836,0.15517,0.13165,0.10865,0.0030204,-0.0052283,0.0054949
0.4,1.9976,-0.6,-0.00026467,-1.1028e-06,-0.00017641,0.069181,0.005954,0.045572,0.00012532,-0.00048493,9.4467e-05
0.5,0,-0.6,2.6032e-15,-8.6768e-18,6.125e-17,2.1368e-13,8.1426e-16,1.068e-14,-1.4826e-30,-1.0115e-28,2.0638e-31
0.5,0.0097319,-0.6,-0.00010135,-0.00017123,-0.00029667,0.066291,0.036134,0.047883,0.00022585,-9.4264e-05,-0.00011048
0.5,0.038738,-0.6,0.040827,-0.022045,0.0097003,0.80255,0.35054,0.36598,0.19843,0.01214,-0.00058697
0.5,0.086455,-0.6,0.70348,-0.057766,0.043992,1.5378,0.94791,1.2167,1.1558,0.25662,-0.27419
