x,y,c,U,V,urms,vrms,uv
1,0.5616289,0,1.692525,-0.007310001,1.137328,0.7364262,-0.6403383
1,0.690983,0,1.81384,-0.00739527,0.960618,0.6813559,-0.5064628
1,0.8263518,0,1.914355,-0.002135593,0.8001239,0.5751395,-0.2710787
1,0.9651005,0,1.959444,-0.001363727,0.6601594,0.5528755,-0.04557305
1,1.104528,0,1.94759,0.003100794,0.7137412,0.560772,0.1269237
1,1.241922,0,1.871692,0.003158967,0.8604397,0.6161341,0.3279753
1,1.374607,0,1.75973,0.0105305,1.065324,0.7328676,0.613207
1,1.5,0,1.637133,0.005479007,1.203132,0.7353561,0.6490412
1,1.615661,0,1.513917,0.006520219,1.334786,0.7894201,0.7590529
1,1.71934,0,1.377966,0.0002864121,1.452905,0.826401,0.8838177
1,1.809017,0,1.197028,-0.004200511,1.540123,0.8951024,1.040319
1,1.882948,0,0.9394807,-0.009388156,1.570034,0.8876516,1.037648
1,1.939693,0,0.174648,0.008211142,1.727538,0.6120102,0.800356
1,1.978148,0,-0.0004998391,0.0004114308,0.05694753,0.05117862,0.000992096
1,1.997564,0,-0.000268272,2.814427e-05,0.04018037,0.003008847,1.926833e-05
1.1,0,0,2.662195e-15,1.514387e-19,2.145517e-13,8.243895e-16,4.787962e-30
1.1,0.009731931,0,-0.0001523977,-9.928167e-05,0.0603523,0.02116229,-0.0001877412
1.1,0.0387383,0,0.00981068,0.00201646,0.438415,0.2399683,-0.09460188
1.1,0.08645454,0,0.7204013,0.0400113,1.539275,0.8729634,-1.151434
1.1,0.1519519,0,1.075409,0.01480105,1.563951,0.8783108,-1.006741
1.1,0.2339556,0,1.277933,0.0004087896,1.509626,0.8834281,-1.0348
1.1,0.3308694,0,1.439134,-0.008686173,1.423513,0.8153063,-0.8263947
1.1,0.4408071,0,1.57025,-0.005882609,1.289636,0.7686369,-0.6545929
1.1,0.5616289,0,1.692398,-0.002819804,1.156981,0.7257783,-0.5929501
1.1,0.690983,0,1.810755,-0.005107909,0.9758508,0.6592725,-0.4378629
1.1,0.8263518,0,1.913188,-0.005295071,0.7903338,0.5925645,-0.2964279
1.1,0.9651005,0,1.958208,-0.001992876,0.6573896,0.5454094,-0.05430809
1.1,1.104528,0,1.945882,0.003811449,0.7171042,0.545358,0.1716413
1.1,1.241922,0,1.871588,0.005276007,0.8677857,0.6173258,0.3535615
1.1,1.374607,0,1.761102,0.001819114,1.054813,0.6743198,0.5186809
1.1,1.5,0,1.63886,0.005127087,1.218089,0.7537584,0.6413431
1.1,1.615661,0,1.511014,0.007307858,1.338013,0.7854519,0.7494627
1.1,1.71934,0,1.366247,0.004433269,1.456713,0.8608824,0.9489708
1.1,1.809017,0,1.191332,-0.004969442,1.524217,0.8897894,1.007746
1.1,1.882948,0,0.9424363,-0.02565926,1.568383,0.8912311,0.9876695
1.1,1.939693,0,0.4212926,-0.04180572,1.478466,0.7175948,1.148493
1.1,1.978148,0,-0.0001569055,0.0002552416,0.07864406,0.06675171,0.0004446297
1.1,1.997564,0,-0.0001074261,1.928425e-05,0.04754163,0.00394247,2.942716e-05
1.2,0,0,2.618666e-15,8.688799e-18,2.1433e-13,7.76631e-16,-3.910365e-30
